CompanyName,TaxNumber,RegistrationNumber,ActivityCode,ActivityName,Place,Municipality,Region,Address,Phone,Email,Website,FoundingDate,NumberOfEmployees,SalesIncome,NetProfit,TotalAssets,Capital,LegalForm,Status,BonitetScore
,,,,,,,,,,,,2002-07-30,1216,,,,,,,
,,,,,,,,,,,,2002-08-12,2367,,,,,,,
,,,,,,,,,,,,2010-06-23,2584,,,,,,,
,,,,,,,,,,,,2002-07-17,104,,,,,,,
,,,,,,,,,,,,2008-12-03,1601,,,,,,,
,,,,,,,,,,,,2002-08-13,540,,,,,,,
,,,,,,,,,,,,2002-08-05,173,,,,,,,
,,,,,,,,,,,,2005-08-18,1323,,,,,,,
,,,,,,,,,,,,2016-06-30,1772,,,,,,,
,,,,,,,,,,,,2002-08-09,381,,,,,,,
,,,,,,,,,,,,2014-04-11,201,,,,,,,
,,,,,,,,,,,,2009-03-27,341,,,,,,,
,,,,,,,,,,,,2002-08-13,131,,,,,,,
,,,,,,,,,,,,2007-04-04,520,,,,,,,
,,,,,,,,,,,,2002-08-02,447,,,,,,,
,,,,,,,,,,,,2002-08-09,428,,,,,,,
,,,,,,,,,,,,2015-01-22,22,,,,,,,
,,,,,,,,,,,,2002-08-14,577,,,,,,,
,,,,,,,,,,,,2007-01-29,124,,,,,,,
,,,,,,,,,,,,2002-08-09,547,,,,,,,
,,,,,,,,,,,,2008-08-01,118,,,,,,,
,,,,,,,,,,,,2014-04-11,771,,,,,,,
,,,,,,,,,,,,2006-12-19,209,,,,,,,
,,,,,,,,,,,,2002-08-12,1149,,,,,,,
,,,,,,,,,,,,2002-07-30,372,,,,,,,
,,,,,,,,,,,,2002-08-14,93,,,,,,,
,,,,,,,,,,,,2021-02-08,167,,,,,,,
,,,,,,,,,,,,2002-08-12,434,,,,,,,
,,,,,,,,,,,,2007-08-22,148,,,,,,,
,,,,,,,,,,,,2004-04-22,284,,,,,,,
,,,,,,,,,,,,2002-08-07,222,,,,,,,
,,,,,,,,,,,,2002-07-30,81,,,,,,,
,,,,,,,,,,,,2009-09-29,109,,,,,,,
,,,,,,,,,,,,2002-11-19,369,,,,,,,
,,,,,,,,,,,,2017-05-18,100,,,,,,,
,,,,,,,,,,,,2002-08-01,25,,,,,,,
,,,,,,,,,,,,2002-07-26,182,,,,,,,
,,,,,,,,,,,,2006-10-30,112,,,,,,,
,,,,,,,,,,,,2002-08-05,407,,,,,,,
,,,,,,,,,,,,2014-10-13,115,,,,,,,
,,,,,,,,,,,,2002-08-01,72,,,,,,,
,,,,,,,,,,,,2002-07-09,224,,,,,,,
,,,,,,,,,,,,2006-06-09,265,,,,,,,
,,,,,,,,,,,,2019-01-17,2,,,,,,,
,,,,,,,,,,,,2007-02-22,2,,,,,,,
,,,,,,,,,,,,2002-08-09,231,,,,,,,
,,,,,,,,,,,,2008-04-07,114,,,,,,,
,,,,,,,,,,,,2005-05-04,1,,,,,,,
,,,,,,,,,,,,2003-05-08,451,,,,,,,
,,,,,,,,,,,,2015-10-29,356,,,,,,,
,,,,,,,,,,,,2008-10-13,1,,,,,,,
,,,,,,,,,,,,2021-05-20,7,,,,,,,
,,,,,,,,,,,,2018-09-27,15,,,,,,,
,,,,,,,,,,,,2002-07-11,31,,,,,,,
,,,,,,,,,,,,2003-06-04,92,,,,,,,
,,,,,,,,,,,,2011-12-14,31,,,,,,,
,,,,,,,,,,,,2023-01-05,38,,,,,,,
,,,,,,,,,,,,2003-02-27,30,,,,,,,
,,,,,,,,,,,,2002-08-12,33,,,,,,,
,,,,,,,,,,,,2002-08-02,33,,,,,,,
,,,,,,,,,,,,2002-07-18,8,,,,,,,
,,,,,,,,,,,,2009-05-11,15,,,,,,,
,,,,,,,,,,,,2015-01-21,12,,,,,,,
,,,,,,,,,,,,2017-02-07,21,,,,,,,
,,,,,,,,,,,,2002-08-09,254,,,,,,,
,,,,,,,,,,,,2002-07-25,8,,,,,,,
,,,,,,,,,,,,2011-03-22,8,,,,,,,
,,,,,,,,,,,,2002-08-12,37,,,,,,,
,,,,,,,,,,,,2011-05-05,49,,,,,,,
,,,,,,,,,,,,2002-08-05,25,,,,,,,
,,,,,,,,,,,,2002-08-09,41,,,,,,,
,,,,,,,,,,,,2012-06-12,14,,,,,,,
,,,,,,,,,,,,2007-12-18,120,,,,,,,
,,,,,,,,,,,,2017-10-05,8,,,,,,,
,,,,,,,,,,,,2013-10-14,35,,,,,,,
,,,,,,,,,,,,2012-10-05,49,,,,,,,
,,,,,,,,,,,,2007-04-24,10,,,,,,,
,,,,,,,,,,,,2008-03-17,13,,,,,,,
,,,,,,,,,,,,2011-02-07,46,,,,,,,
,,,,,,,,,,,,2008-01-14,101,,,,,,,
,,,,,,,,,,,,2008-09-01,23,,,,,,,
,,,,,,,,,,,,2006-06-12,77,,,,,,,
,,,,,,,,,,,,2006-09-18,14,,,,,,,
,,,,,,,,,,,,2002-07-05,49,,,,,,,
,,,,,,,,,,,,2006-06-14,34,,,,,,,
,,,,,,,,,,,,2003-01-31,40,,,,,,,
,,,,,,,,,,,,2002-08-06,44,,,,,,,
,,,,,,,,,,,,2013-01-09,33,,,,,,,
,,,,,,,,,,,,2006-11-06,11,,,,,,,
,,,,,,,,,,,,2002-08-12,61,,,,,,,
,,,,,,,,,,,,2002-07-31,29,,,,,,,
,,,,,,,,,,,,2011-05-10,34,,,,,,,
,,,,,,,,,,,,2002-07-31,12,,,,,,,
,,,,,,,,,,,,2009-08-31,11,,,,,,,
,,,,,,,,,,,,2011-03-23,69,,,,,,,
,,,,,,,,,,,,2022-04-29,4,,,,,,,
,,,,,,,,,,,,2002-08-02,32,,,,,,,
,,,,,,,,,,,,2002-08-12,13,,,,,,,
,,,,,,,,,,,,2002-07-31,35,,,,,,,
,,,,,,,,,,,,2018-12-04,5,,,,,,,
,,,,,,,,,,,,2012-02-02,37,,,,,,,
,,,,,,,,,,,,2012-07-12,17,,,,,,,
,,,,,,,,,,,,2002-08-13,201,,,,,,,
,,,,,,,,,,,,2002-08-12,97,,,,,,,
,,,,,,,,,,,,2002-07-12,48,,,,,,,
,,,,,,,,,,,,2018-04-24,322,,,,,,,
,,,,,,,,,,,,2014-02-11,998,,,,,,,
,,,,,,,,,,,,2002-07-29,225,,,,,,,
,,,,,,,,,,,,2011-07-20,9,,,,,,,
,,,,,,,,,,,,2013-05-14,216,,,,,,,
,,,,,,,,,,,,2002-08-02,5,,,,,,,
,,,,,,,,,,,,2002-08-14,29,,,,,,,
,,,,,,,,,,,,2002-07-09,336,,,,,,,
,,,,,,,,,,,,2016-01-25,494,,,,,,,
,,,,,,,,,,,,2014-03-07,49,,,,,,,
,,,,,,,,,,,,2002-08-14,634,,,,,,,
,,,,,,,,,,,,2009-05-18,575,,,,,,,
,,,,,,,,,,,,2021-12-14,3,,,,,,,
,,,,,,,,,,,,2013-02-13,36,,,,,,,
,,,,,,,,,,,,2003-07-15,558,,,,,,,
,,,,,,,,,,,,2002-08-12,164,,,,,,,
,,,,,,,,,,,,2005-08-24,32,,,,,,,
,,,,,,,,,,,,2002-07-25,326,,,,,,,
,,,,,,,,,,,,2002-07-19,350,,,,,,,
,,,,,,,,,,,,2006-03-10,221,,,,,,,
,,,,,,,,,,,,2006-03-20,127,,,,,,,
,,,,,,,,,,,,2012-02-02,1244,,,,,,,
,,,,,,,,,,,,2002-08-13,588,,,,,,,
,,,,,,,,,,,,2007-04-10,1,,,,,,,
,,,,,,,,,,,,2002-08-08,242,,,,,,,
,,,,,,,,,,,,2002-08-14,256,,,,,,,
,,,,,,,,,,,,2002-08-14,7,,,,,,,
,,,,,,,,,,,,2002-07-29,114,,,,,,,
,,,,,,,,,,,,2008-06-06,120,,,,,,,
,,,,,,,,,,,,2002-08-01,125,,,,,,,
,,,,,,,,,,,,2007-08-06,102,,,,,,,
,,,,,,,,,,,,2004-04-21,219,,,,,,,
,,,,,,,,,,,,2022-06-07,156,,,,,,,
,,,,,,,,,,,,2022-10-17,177,,,,,,,
,,,,,,,,,,,,2002-08-14,42,,,,,,,
,,,,,,,,,,,,2002-08-13,114,,,,,,,
,,,,,,,,,,,,2003-04-24,51,,,,,,,
,,,,,,,,,,,,2011-11-18,185,,,,,,,
,,,,,,,,,,,,2002-12-11,123,,,,,,,
,,,,,,,,,,,,2007-04-23,30,,,,,,,
,,,,,,,,,,,,2002-08-09,237,,,,,,,
,,,,,,,,,,,,2013-07-18,31,,,,,,,
,,,,,,,,,,,,2008-05-07,1,,,,,,,
,,,,,,,,,,,,2002-08-14,80,,,,,,,
,,,,,,,,,,,,2002-08-07,100,,,,,,,
,,,,,,,,,,,,2002-08-14,43,,,,,,,
,,,,,,,,,,,,2007-03-13,112,,,,,,,
,,,,,,,,,,,,2002-08-09,28,,,,,,,
