Naziv kompanije,PIB,Matični broj,CRPS Status,Promet 2024,Profit,Broj zaposlenih,Grad,Adresa,Datum osnivanja,Ukupna aktiva
ELEKTROPRIVREDA CRNE GORE AD,02002230,40000330,Aktivan,424147106,10959313,1216,,,2002-07-30,1296758059
VOLI TRADE,02227312,50083264,Aktivan,368845802,16329213,2367,,,2002-08-12,233204669
IDEA - CG,02793962,50582045,Aktivan,286965069,4711406,2584,,,2010-06-23,114070819
JUGOPETROL,02013258,40000087,Aktivan,257048096,7027396,104,,,2002-07-17,126844771
HARD DISCOUNT LAKOVIĆ,02739500,50507461,Aktivan,260130725,11318729,1601,,,2008-12-03,123947403
ZDRAVSTVENA USTANOVA APOTEKE CRNE GORE MONTEFARM,02017105,80006764,Aktivan,167143411,584032,540,,,2002-08-13,37972062
GLOSARIJ,02118912,50043160,Aktivan,144842265,6854110,173,,,2002-08-05,54907525
DOMAĆA TRGOVINA,02440261,50260453,Aktivan,138736064,2360569,1323,,,2005-08-18,83154803
CEDIS,03099873,50766918,Aktivan,131857933,645289,1772,,,2016-06-30,552309219
BAR-KOD,02289334,50065951,Aktivan,127442695,4966819,381,,,2002-08-09,46361763
S PRESS +,02983486,50691106,Aktivan,99908495,300053,201,,,2014-04-11,41163199
CRNOGORSKI ELEKTOPRENOSNI SISTEM,02751372,40008972,Aktivan,100389680,24834632,341,,,2009-03-27,365232897
INA -CRNA GORA,02305054,50098260,Aktivan,96146524,241611,131,,,2002-08-13,29684776
MTEL,02655284,50368574,Aktivan,103482973,14879304,520,,,2007-04-04,425791261
CRNOGORSKI TELEKOM,02289377,40000618,Aktivan,90677863,5822722,447,,,2002-08-02,181307897
KIPS,02047403,50066431,Aktivan,89698005,7830368,428,,,2002-08-09,71446423
PLUS,03024938,50716676,Aktivan,86938154,3127351,22,,,2015-01-22,24034895
"DRUŠTVO ZA PROIZVODNJU,PROMET I USLUGE MESO-PROMET D.O.O. BIJELO POLJE",02063344,50113473,Aktivan,87006315,2707263,577,,,2002-08-14,61642764
BEMAX,02643448,50349533,Aktivan,82548950,979269,124,,,2007-01-29,214619170
OKOV,02226782,50072043,Aktivan,78830069,9816697,547,,,2002-08-09,86607378
LUŠTICA DEVELOPMENT,02744597,40008824,Aktivan,79912040,9125816,118,,,2008-08-01,248101411
TOBACCO S PRESS,02983303,50690922,Aktivan,66844932,753267,771,,,2014-04-11,10664357
