Naziv,PIB,Matični broj,Šifra djelatnosti,Naziv djelatnosti,CRPS Status,Promet 2024,Profit,Broj zaposlenih,Ukupna aktiva,Grad,Adresa,Email,Telefon,Website,Datum osnivanja
ELEKTROPRIVREDA CRNE GORE AD,02002230,40000330,3511,Proizvodnja električne energije,Aktivan,424147106,10959313,1216,1296758059,,,,,http://epcg.com,2002-07-30
VOLI TRADE,02227312,50083264,4690,Nespecijalizovana trgovina na veliko,Aktivan,368845802,16329213,2367,233204669,,,,,http://www.facebook.com/Voli.Trade/,2002-08-12
IDEA - CG,02793962,50582045,4719,Ostala trgovina na malo u nespecijalizovanim prodavnicama,Aktivan,286965069,4711406,2584,114070819,,,,,http://mercator.me,2010-06-23
JUGOPETROL,02013258,40000087,4671,"Trgovina na veliko čvrstim, tečnim i gasovitim gorivima i sličnim proizvodima",Aktivan,257048096,7027396,104,126844771,,,,,http://jugopetrol.co.me,2002-07-17
HARD DISCOUNT LAKOVIĆ,02739500,50507461,4690,Nespecijalizovana trgovina na veliko,Aktivan,260130725,11318729,1601,123947403,,,,,http://hdl.co.me,2008-12-03
ZDRAVSTVENA USTANOVA APOTEKE CRNE GORE MONTEFARM,02017105,80006764,4773,Trgovina na malo farmaceutskim proizvodima u specijalizovanim prodavnicama – apotekama,Aktivan,167143411,584032,540,37972062,,,,,http://montefarm.co.me,2002-08-13
GLOSARIJ,02118912,50043160,4646,Trgovina na veliko farmaceutskim proizvodima,Aktivan,144842265,6854110,173,54907525,,,,,http://sr-rs.facebook.com/pages/GLOSARIJ-PODGORICA/102919229797019,2002-08-05
DOMAĆA TRGOVINA,02440261,50260453,4711,"Trgovina na malo u nespecijalizovanim prodavnicama, pretežno hranom, pićima i duvanom",Aktivan,138736064,2360569,1323,83154803,,,,,http://www.facebook.com/aromamarketisrbija/,2005-08-18
CEDIS,03099873,50766918,3513,Distribucija električne energije,Aktivan,131857933,645289,1772,552309219,,,,,http://cedis.me,2016-06-30
BAR-KOD,02289334,50065951,4690,Nespecijalizovana trgovina na veliko,Aktivan,127442695,4966819,381,46361763,,,,,http://bar-kod.com,2002-08-09
