SF_ARTIKLA,NAZIV,VR_ART_PROIZ,KOMENTAR,VR_ARTIKLA,VR_JEDINICA,KOL_ULAZNA,KOl_IZLAZNA,KOL_KRITICNA,CIJ_NABAVNA,CIJ_PRODAJNA,CIJ_PROD_KOEF,VR_PROIZVODA,ID_OPERATER
1,"Offset",1,"Izmjena cijene 26. maj 2010. Bogdan",1,6,0,0,0,0.0196,0.021,1,1,5
2,"Offset",1,"0",1,6,242000,2630,0,0.023,0.025,1,1,2
4,"Offset",1,"Izmjena cijene 26. maj 2010. Bogdan",1,6,25000,7299,0,0.028,0.031,1,1,5
10,"Offset",1," ",1,6,0,0,0,0.042,0.047,1,1,5
50,"Offset",1,"Izmjena 26. maj 2010. Bogdan",1,6,633895,9243,0,0.024,0.027,1,1,5
97,"Offset",1," Izmjena cijene 09.09.2010. Bogdan",1,6,0,0,0,0.026,0.031,1,1,5
98,"Offset",1,"April 2014",1,6,41000,0,0,0.0302,0.035,1,1,2
100,"Offset",1,"Izmjena cijene: 01. jun. Bogdan",1,6,59000,6850,0,0.04,0.042,1,1,5
103,"Offset",1," ",1,6,0,755,0,0.041,0.045,1,1,49
106,"Offset",1,"Izmjena cijene: 01. jun. Bogdan",1,6,0,0,0,0.066,0.068,1,1,5
107,"Offset",1," Izmjena cijene: 01. jun. Bogdan",1,6,1500,900,0,0.114,0.121,1,1,5
433,"Kunstdruck",1," ",1,6,0,0,0,0.021,0.026,1,1,1
434,"Kunstdruck",1,"0",1,6,0,0,0,0.021,0.026,1,1,5
435,"Kunstdruck",1," Izmjena cijene: 25. maj 2010. Bogdan",1,6,1383501,6782,0,0.0274,0.031,1,1,5
436,"Kunstdruck",1,"Izmjena cijene: 25. maj 2010. Bogdan",1,6,0,0,0,0.031,0.035,1,1,5
438,"Kunstdruck",1,"Izmjena cijene: 26. maj 2010. Bogdan",1,6,47000,0,0,0.035,0.039,1,1,5
439,"Kunstdruck",1,"Izmjena cijena: 26. maj 2010. Bogdan",1,6,328500,39073,0,0.042,0.047,1,1,5
440,"Muflon",1," ",1,6,0,0,0,0.275,0.3,1,1,2
442,"Kunstdruck",1," Izmjena cijena: 26. maj 2010. Bogdan",1,6,24000,2380,0,0.046,0.051,1,1,2
449,"Kunstdruck",1,"  Izmjena cijena: 26. maj 2010. Bogdan",1,6,107500,1465,0,0.083,0.092,1,1,5
451,"Kunstdruck rijetki 300",1," ",1,6,0,0,0,0.11,0.12,1,1,1
457,"Kunstdruck",1," ",1,6,0,0,0,0.021,0.026,1,1,0
458,"Kunstdruck",1," ",1,6,0,0,0,0.021,0.026,1,1,0
459,"Kunstdruck",1,"Izmjena cijene: 25. maj 2010. Bogdan",1,6,482000,20700,0,0.0274,0.031,1,1,5
460,"Kunstdruck",1,"Izmjena cijene: 26. maj 2010. Bogdan",1,6,84500,0,0,0.031,0.035,1,1,5
462,"Kunstdruck",1,"Izmjena cijene: 26. maj 2010. Bogdan",1,6,14000,0,0,0.035,0.039,1,1,5
464,"Kunstdruck",1,"  Izmjena cijena: 26. maj 2010. Bogdan",1,6,29500,0,0,0.042,0.047,1,1,5
466,"Kunstdruck",1," Izmjena cijene 26. maj 2010. Bogdan",1,6,26500,12889,0,0.046,0.051,1,1,2
473,"Kunstdruck",1,"  Izmjena cijena: 26. maj 2010. Bogdan",1,6,1250,1026,0,0.083,0.092,1,1,5
481,"Kunstdruck",1," ",1,6,0,0,0,0.028,0.032,1,1,0
482,"Kunstdruck",1,"Tabak B2 ima 28 grama",1,6,0,0,0,0.028,0.032,1,1,2
483,"Kunstdruck",1,"Izmjena cijene: 25. maj 2010. Bogdan ",1,6,15000,320,0,0.034,0.038,1,1,5
484,"Kunstdruck",1,"Izmjena cijene: 26. maj 2010. Bogdan",1,6,10000,0,0,0.038,0.042,1,1,5
486,"Kunstdruck",1,"Izmjena cijene: 26. maj 2010. Bogdan",1,6,29000,14175,0,0.044,0.049,1,1,5
488,"Kunstdruck",1," Izmjena cijene: 26. maj. Bogdan",1,6,69500,8210,0,0.051,0.057,1,1,5
490,"Kunstdruck",1," Promjena cijene 26. maj 2010. Bogdan",1,6,76500,23837,0,0.057,0.063,1,1,2
492,"Kunstdruck",1,"Izmjena cijene: 26. maj 2010. Bogdan ",1,6,26500,1181,0,0.065,0.07199999999999999,1,1,5
494,"Kunstdruck",1,"Izmjena cijene: 26. maj. Bogdan",1,6,18500,1770,0,0.082,0.091,1,1,5
497,"Kunstdruck",1,"0",1,6,91500,4761,0,0.109,0.12,1,1,2
499,"Kunstdruck",1,"0",1,6,21200,3151,0,0.13,0.145,1,1,2
500,"Kunstdruck",1,"Izmjena cijene: 26. maj. Bogdan ",1,6,0,0,0,0.155,0.172,1,1,5
505,"Kunstdruck",1," ",1,6,0,0,0,0.028,0.032,1,1,0
506,"Kunstdruck",1," ",1,6,0,0,0,0.028,0.032,1,1,0
507,"Kunstdruck",1,"Izmjena cijene: 25. maj 2010. Bogdan",1,6,39500,0,0,0.034,0.038,1,1,5
508,"Kunstdruck",1,"Izmjena cijene: 26. maj 2010. Bogdan",1,6,41000,10750,0,0.038,0.042,1,1,5
510,"Kunstdruck",1,"Izmjena cijene: 26. maj 2010. Bogdan",1,6,0,0,0,0.044,0.049,1,1,5
512,"Kunstdruck",1,"Izmjena cijene: 26. maj. Bogdan",1,6,17500,0,0,0.051,0.057,1,1,5
514,"Kunstdruck",1,"Izmjena cijene: 26. maj. Bogdan",1,6,11567,2717,0,0.057,0.063,1,1,2
516,"Kunstdruck",1,"Izmjena cijene: 26. maj 2010. Bogdan ",1,6,11040,0,0,0.065,0.07199999999999999,1,1,5
518,"Kunstdruck",1,"Izmjena cijene: 26. maj. Bogdan",1,6,5000,620,0,0.082,0.091,1,1,5
521,"Kunstdruck",1,"Izmjena cijene: 26. maj. Bogdan",1,6,11450,0,0,0.103,0.114,1,1,5
523,"Kunstdruck",1,"Izmjena cijene: 26. maj. Bogdan",1,6,1600,0,0,0.13,0.145,1,1,5
524,"Kunstdruck",1," Izmjena cijene: 26. maj. Bogdan",1,6,0,0,0,0.155,0.172,1,1,5
770,"Sora",1," Ovo nije dobar račun ni cijena ! - Branko",1,6,0,0,0,0.019,0.021,1,1,2
818,"Sora",1,"  Ovo nije dobar račun ni cijena ! - Branko",1,6,0,0,0,0.02,0.022,1,1,2
1225,"LVC",1," ",1,6,0,0,0,0.025,0.027,1,1,16
1226,"LVC",1," Promjena cijene 03.08.2010.",1,6,0,0,0,0.026,0.028,1,1,5
1921,"Lepenka 1,25",0,"0",1,6,25,0,0,0.35,0.4,0,1,2
1922,"Lepenka 2,00",0,"0",1,6,0,0,0,0.41,0.5,0,1,2
1923,"Lepenka 2,50",0,"0",1,6,50,0,0,0.51,0.6,0,1,2
1924,"Xerox",0,"0",1,6,0,1383,0,0.029,0.031,0,1,1
1925,"Xerox",0,"0",1,6,1000,303,0,0.058,0.06,0,1,1
