FIRMA_ID,NAZIV,ADRESA,REG_BROJ,MATICNI,SIFRA_DJEL,MAIL,ZIRO_RACUN1,ZIRO_RACUN2,WEB,TEL1,TEL2,TEL3,TEL4,STATUS,NAPOMENA,KUPAC,DOBAVLJAC,DATUM,POT,DUG,ID_CIJENA,RADNIK,BLAG,ROK_PLACANJA,ID_OPERATER,POCETNO,DATUM_VALUTE_1,DATUM_VALUTE_2,DUG_1,DUG_2,DUG_GOT_1,DUG_GOT_2,POT_1,POT_2,POT_GOT_1,POT_GOT_2,SALDO_DOBAVLJAC_1,SALDO_DOBAVLJAC_2,SALDO_GOT_DOBAVLJAC_1,SALDO_GOT_DOBAVLJAC_2,SALDO_GOT_KUPAC_1,SALDO_GOT_KUPAC_2,SALDO_KUPAC_1,SALDO_KUPAC_2,ID_PREDUZECE,VR_KLIK_GRUPA
1333,"Brain Media doo","Romanovih 33, Podgorica",,"03150321","30/31-000","info@brain.co.me","520-13413-91",,,,,,,"A",,1,1,"01/01/12 00:00:00",0,0,1,0,1,30,2,1,"11/23/22 00:00:00","08/22/11 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3
4406,"Dražen Petrić",,,,,,,,,,,,,"A",,1,1,"01/01/12 00:00:00",0,0,0,1,0,0,2,1,"05/05/21 00:00:00","04/15/11 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
4407,"INA Crna Gora","Oktoih 2, Donja Gorica, Podgorica",,"02305054","30/31-06204-6","kontakt@inacg.me","510-269-09 CKB",,"www.inacg.me","+38220268263",,,,"A",,1,1,"01/01/12 00:00:00",0,0,0,0,0,30,2,1,"07/15/21 00:00:00",,726,,0,,,,,,0,,0,,0,,0,,,
4408,"CENTAR ZA DEMOKRATIJU I LJUDSKA PRAVA (CEDEM)"," Bul Džordža Vašingtona br. 92, Podgorica",,"02264170",,"info@cedem.me","530-10543-06",,"www.cedem.me","+38220234114",,,,"A",,1,0,"01/01/12 00:00:00",0,0,0,0,0,30,2,0,"07/21/25 00:00:00",,,,,,,,,,0,,0,,0,,3142.12,,,
4409,"VK1 - Soko Gym","Ivana Milutinovića bb, Sportski centar ""Morača""",,"02814625","30/31-09988-8","soko-gym@t-com.me","520000000001312873",,,"+38269309009",,"+38269406069","+38269066444","A",,1,0,"01/01/12 00:00:00",0,0,0,0,0,30,2,1,"01/26/24 00:00:00",,-211.75,,0,,,,,,0,,0,,0,,0,,,
4410,"GroupTrade d.o.o.","Žrtava Fašizma26/8,Prijem pošte na: Avda Međedovića 142, Podgorica",,"03030636","30/31-14386-0","p.dragas88@gmail.com","520000000003070125",,"www.prodavnicazabebe.me","+38268664406",,,,"A",,1,1,"01/01/21 00:00:00",0,0,0,0,0,30,2,1,"10/12/24 00:00:00",,0,,0,,,,,,0,,0,,0,,0,,,
4411,"Bild Studio","Romanovih 33, Podgorica",,"02783061","30/31-09860-1","info@bild-studio.net","540-9177-65","520-30913-68","www.bild-studio.com","+38267000275",,,,"A",,1,1,"01/01/21 00:00:00",0,0,0,0,0,30,2,1,"07/24/24 00:00:00",,1030.86,,0,,1200.45,,0,,0,,0,,0,,15.21,,,
4412,"Ukus i tradicija Pejanović","LIMLJANI BB, VIRPAZAR",,"03298370",,,"510000000011466119",,,"+38269468008",,,,"A",,1,0,"01/01/12 00:00:00",0,0,0,0,0,30,2,1,"10/30/23 00:00:00",,0,,0,,,,,,0,,0,,0,,0,,,
4413,"VIP STAR TAXI","DOBROTA BR. 171, Kotor",,"02966883","92/31-01582-2","info@vipstartaxi.me","535000000001378449",,,"+38267625662",,,,"A",,1,0,"01/01/12 00:00:00",0,0,0,0,0,30,2,1,"07/21/25 00:00:00",,0,,0,,,,,,0,,0,,0,,0,,,
4414,"DATHA AYURYOGA INTERNATIONAL HEALTH INSTITUTE - Dathateya","NIKŠIĆKI PUT BR.109, Podgorica",,"02975955","32/31-00633-7","cg@dathathreya-ayurveda.com","510000000008283452",,,"+38269330057",,,,"A",,1,0,"01/01/12 00:00:00",0,0,0,0,0,30,2,1,"06/18/25 00:00:00",,0,,0,,,,,,0,,0,,0,,1207.82,,,
4415,"AMPLITUDO","BULEVAR SVETOG PETRA CETINJSKOG BR. 56, Podgorica",,"02907259","30/31-11811-4","info@amplitudo.me","565-72-65",,"www.amplitudo.me","+38220223244",,,,"A",,1,0,"01/01/21 00:00:00",0,0,0,0,0,15,2,1,"02/11/25 00:00:00",,0,,0,,,,,,0,,0,,0,,0,,,
4416,"ĐOKOVIĆ d.o.o.","KEŠE ĐUROVIĆA 36/3, Danilovgrad",,"02106086","32/31-00018-5","djokovici@t-com.me","510000000000274065",,,"+38269019428",,,,"A",,1,0,"01/01/12 00:00:00",0,0,0,0,0,30,2,1,"10/14/22 00:00:00",,411.4,,0,,,,,,0,,0,,0,,0,,,
